Resource Type,Resource Label,Resource Id,Resource Status,Disabled Reason,,
STAGING_AREA,PRSTG-C24,04ba1252-30f2-2278-784d-317c02338e26,ENABLED,NONE,,
STAGING_AREA,PRSTG-D45,04ba1252-320f-2ff6-d38f-cd66aa692e85,ENABLED,NONE,,
STAGING_AREA,STG-B13,06b989f2-d4f4-f980-8d87-58f9f2b97e5e,ENABLED,NONE,,
STAGING_AREA,STG-E17,06b989f2-d53c-0ae0-7b1b-e09701d489c3,ENABLED,NONE,,
STAGING_AREA,STG-I03,06b989f2-d691-3df5-d18d-b8d62856357a,ENABLED,NONE,,
STAGING_AREA,STG-H10,06b989f2-d92f-11d0-549b-b2696cea26d7,ENABLED,NONE,,
STAGING_AREA,PRSTG-C13,06ba1252-30ce-2e45-90d7-3eff5ba601ff,ENABLED,NONE,,
STAGING_AREA,STG-G31,06ba27ad-1e33-3b93-3a79-5f86aa060a21,ENABLED,NONE,,
STAGING_AREA,STG-A47,06ba27ad-1e8c-4d28-7395-30322efd2c7a,ENABLED,NONE,,
STAGING_AREA,STG-E32,06ba27ad-218e-90fd-752e-fc75bf035b72,ENABLED,NONE,,
STAGING_AREA,STG-D34,06ba27ad-2537-1d15-ee03-77f15d3c5ce0,ENABLED,NONE,,
STAGING_AREA,OVER-G4.5,06cc42c4-92da-d522-19c8-229319dc0f58,ENABLED,NONE,,
STAGING_AREA,STG-L18,08b989f2-d7e3-be85-3184-7571512a0ec2,ENABLED,NONE,,
STAGING_AREA,STG-C04,0ab989f2-db0d-aa2e-7751-5c06199ee5ac,ENABLED,NONE,,
STAGING_AREA,FDD_2,0ab989f2-fd95-5476-3399-80fc8059f615,ENABLED,NONE,,
STAGING_AREA,PRSTG-D26,0aba1252-31d3-bea8-2f7b-3689592de4b8,ENABLED,NONE,,
STAGING_AREA,STG-B65,0aba27ad-1f87-52de-16ef-7f0cfa736727,ENABLED,NONE,,
STAGING_AREA,STG-D13,0cb989f2-d30c-0e84-9e37-0b2d0d963ff5,ENABLED,NONE,,
STAGING_AREA,STG-L10,0cb989f2-d588-14c2-79fb-6a4d59a7b112,ENABLED,NONE,,
STAGING_AREA,STG-A23,0cb989f2-d894-9cd5-6cc9-e587d632d62f,ENABLED,NONE,,
STAGING_AREA,STG-K18,0cb989f2-d91e-ba33-b378-f39af040590f,ENABLED,NONE,,
STAGING_AREA,STG-G06,0cb989f2-db32-a2c6-3e41-154166aa8355,ENABLED,NONE,,
STAGING_AREA,STG-B53,0cba27ad-26a3-91c6-7950-ed98e7d2ac63,ENABLED,NONE,,
STAGING_AREA,STG-A42,0cba27ad-26fd-05a3-b1a4-b857cf3574e0,ENABLED,NONE,,
STAGING_AREA,SC_REPLAN_STAGING,0cc44d25-1c04-e36b-12bf-87b7d4b6b177,ENABLED,NONE,,
STAGING_AREA,STG-G16,0eb989f2-d214-c915-e18a-05d5d017c10a,ENABLED,NONE,,
STAGING_AREA,STG-B06,0eb989f2-d2b4-4eb7-af2b-aad2d5493745,ENABLED,NONE,,
STAGING_AREA,PRSTG-D19,0eba1252-31a6-0905-90bf-5ba430e605d2,ENABLED,NONE,,
STAGING_AREA,PRSTG-D36,0eba1252-31e1-a51b-f1c5-d49fd090a8f2,ENABLED,NONE,,
STAGING_AREA,PRSTG-D38,0eba1252-31f7-219b-c7ae-88ff54523362,ENABLED,NONE,,
STAGING_AREA,STG-I25,10b989f2-d305-0e2b-7732-7e18239ca57d,ENABLED,NONE,,
STAGING_AREA,STG-B08,10b989f2-d338-df0f-fd99-aa1e0621cd70,ENABLED,NONE,,
STAGING_AREA,STG-D16,10b989f2-d3f0-ae47-2245-864d4e641b50,ENABLED,NONE,,
